,ID,firstname,surname,gender,distance_from_office_miles,age,nationality,emp_type,travel_cost
0,1111,Johnathan,Fitzpatrick,M,37,32,Canada,Hourly,57.0
1,1112,Samuel,Richardson,M,13,34,USA,FT,37.0
2,1113,Kayla,Martinez,F,17,32,UAE,PT,37.0
3,1114,John,Hutchinson,M,29,39,Australia,PT,57.0
4,1115,John,Price,M,13,33,Australia,FT,37.0
5,1116,Aaron,Wise,M,29,33,India,FT,57.0
6,1117,Mark,Lowe,M,37,32,India,FT,57.0
7,1118,Jessica,Duncan,F,33,33,UAE,Hourly,57.0
8,1119,Raymond,Hernandez,M,29,30,Canada,Variable Hourly,57.0
9,1120,Cheyenne,Cobb,F,41,34,India,Variable Hourly,74.0
10,1121,Ashlee,Manning,F,37,32,USA,Seasonal,57.0
11,1122,Renee,Kelly,F,45,37,UAE,Hourly,74.0
12,1123,Jackie,Clayton,F,21,36,Australia,Seasonal,57.0
13,1124,Daniel,Hernandez,M,13,34,USA,PT,37.0
14,1125,Traci,Hoffman,F,21,32,USA,PT,57.0
15,1126,Christopher,Santos,M,37,33,USA,Hourly,57.0
16,1127,Edward,Hardin,M,21,32,USA,Intern,57.0
17,1128,Eric,Henry,M,29,38,Pakistan,Variable Hourly,57.0
18,1129,Kimberly,Miller,F,5,37,Canada,PT,25.0
19,1130,Nicole,Wilson,F,25,34,UK,Hourly,57.0
20,1131,Gregory,Shepard,M,5,36,Canada,Intern,25.0
21,1132,Monica,Barnes,F,21,36,USA,Seasonal,57.0
22,1133,Matthew,Young,M,45,34,USA,Variable Hourly,74.0
23,1134,Clinton,Lopez,M,13,34,Australia,Variable Hourly,37.0
24,1135,Benjamin,Clark,M,33,36,USA,FT,57.0
25,1136,Lori,Murphy,F,29,39,Canada,Seasonal,57.0
26,1137,Nicole,Mcdonald,F,9,36,UAE,FT,25.0
27,1138,Cassandra,Payne,F,1,33,Pakistan,Hourly,18.0
28,1139,Angela,Johnson,F,5,35,USA,FT,25.0
29,1140,Luis,Mcneil,M,13,35,Canada,Variable Hourly,37.0
30,1141,Luke,Day,M,5,40,UK,Intern,25.0
31,1142,Stephanie,Espinoza,F,41,38,India,FT,74.0
32,1143,Amber,Chavez,F,37,32,USA,Variable Hourly,57.0
33,1144,Katherine,Terry,F,41,34,UAE,Variable Hourly,74.0
34,1145,Vincent,Armstrong,M,49,41,USA,PT,74.0
35,1146,Jason,Mcdaniel,M,41,35,UAE,Seasonal,74.0
36,1147,Daniel,Wagner,M,13,37,UK,PT,37.0
37,1148,Roy,Palmer,M,17,30,UAE,PT,37.0
38,1149,Gary,Bryan,M,37,31,USA,Temp,57.0
39,1150,Jacob,Carter,M,29,32,USA,FT,57.0
40,1151,Derek,Navarro,M,1,40,USA,FT,18.0
41,1152,Richard,Larsen,M,17,31,USA,FT,37.0
42,1153,Lisa,Allen,F,1,34,Australia,Temp,18.0
43,1154,Mark,Garrett,M,41,39,USA,FT,74.0
44,1155,Rebecca,Rogers,F,1,47,UK,PT,18.0
45,1156,Joseph,Garcia,M,37,36,USA,Hourly,57.0
46,1157,Victoria,Smith,F,33,31,USA,PT,57.0
47,1158,Brian,Brown,M,41,39,USA,Hourly,74.0
48,1159,Dalton,White,M,5,33,Pakistan,PT,25.0
49,1160,Lauren,Yang,F,13,34,UK,FT,37.0
50,1161,Brandon,Lawson,M,21,33,Pakistan,Hourly,57.0
51,1162,Scott,Salazar,M,9,39,USA,FT,25.0
52,1163,Christopher,Walters,M,17,31,USA,FT,37.0
53,1164,Evelyn,Murphy,F,17,38,Canada,Seasonal,37.0
54,1165,Carolyn,Hale,F,1,32,Canada,Intern,18.0
55,1166,Cynthia,Paul,F,17,29,USA,PT,37.0
56,1167,Cathy,Riley,F,29,30,Australia,FT,57.0
57,1168,Aaron,Shepard,M,41,28,Australia,PT,74.0
58,1169,David,Hunt,M,37,34,USA,Intern,57.0
59,1170,Crystal,Gray,F,17,35,Canada,FT,37.0
60,1171,Michael,Blair,M,25,29,Canada,Temp,57.0
61,1172,Joseph,Black,M,21,34,USA,FT,57.0
62,1173,Stephanie,Holloway,F,49,32,USA,PT,74.0
63,1174,Steve,David,M,9,32,UK,FT,25.0
64,1175,April,Clements,F,5,34,USA,Hourly,25.0
65,1176,Ralph,Gregory,M,41,36,USA,PT,74.0
66,1177,Emily,Burns,F,25,46,Canada,Seasonal,57.0
67,1178,Joshua,Ward,M,41,39,USA,PT,74.0
68,1179,Troy,Miller,M,45,36,USA,PT,74.0
69,1180,Margaret,Roberson,F,45,32,USA,FT,74.0
70,1181,James,Miranda,M,5,35,USA,FT,25.0
71,1182,Patrick,Ray,M,45,32,Australia,Intern,74.0
72,1183,Stephen,Rowe,M,41,32,Canada,Intern,74.0
73,1184,Samantha,Owens,F,5,37,USA,FT,25.0
74,1185,Natasha,Allen,F,41,34,UAE,FT,74.0
75,1186,Rebecca,Torres,F,49,32,USA,FT,74.0
76,1187,Eric,Perkins,M,45,33,USA,FT,74.0
77,1188,Scott,Bailey,M,17,29,UAE,Seasonal,37.0
78,1189,Bobby,Sharp,M,37,35,USA,FT,57.0
79,1190,Eric,Hood,M,9,34,Australia,FT,25.0
80,1191,Joshua,Hawkins,M,45,32,USA,FT,74.0
81,1192,Andrew,Miles,M,37,35,UK,FT,57.0
82,1193,Jason,Curtis,M,33,33,Canada,PT,57.0
83,1194,Julie,Cooper,F,29,42,USA,PT,57.0
84,1195,Linda,Smith,F,25,31,Canada,PT,57.0
85,1196,Phillip,Taylor,M,45,30,Pakistan,FT,74.0
86,1197,Emily,Salinas,F,1,29,USA,FT,18.0
87,1198,Scott,Morgan,M,13,35,Pakistan,Hourly,37.0
