Employee_ID,Full_Name,Gender,Employee_Name,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
E0001,Barbara Allen,Female,Susan,41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
E0002,William Martin,Male,Michael,49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
E0003,Thomas Brown,Male,Joseph,37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
E0004,Susan Wright,Female,Elizabeth,33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
E0005,Charles Anderson,Male,Richard,27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
E0006,Richard Johnson,Male,Charles,32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
E0007,Linda Clark,Female,Jennifer,59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
E0008,Richard Johnson,Male,Richard,30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
E0009,James Harris,Male,Joseph,38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
E0010,James White,Male,William,36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
E0011,John White,Male,Michael,35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
E0012,Jennifer Hall,Female,Jessica,29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
E0013,Robert Jackson,Male,Joseph,31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
E0014,Charles Harris,Male,Robert,34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
E0015,John Anderson,Male,David,28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
E0016,Barbara Robinson,Female,Elizabeth,29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
E0017,Michael Taylor,Male,John,32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
E0018,John Taylor,Male,Joseph,22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
E0019,Mary Hall,Female,Barbara,53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
E0020,James Martin,Male,John,38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
E0021,Barbara Davis,Female,Elizabeth,24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
