salesperson_id,name,role,home_store_id,first_tx_date,last_tx_date,active_days,orders,units,gross_sales,discount_amount,net_sales,avg_order_value,discount_ratio,returns_amount,return_rate_amount,net_sales_after_returns
P0001,Allison Hill,sales_associate,S002,2025-01-01,2025-12-30,128,173,634,14727111.57,69364.490697,14657774.93,84727.02271676301,0.004709986093831161,463444.77999999997,0.03161767609430745,14194330.15
P0002,Noah Rhodes,floor_supervisor,S001,2025-01-05,2025-12-30,155,207,547,13399234.98,230227.770488,13169031.8,63618.51111111112,0.017182157849432684,572084.04,0.04344161732527672,12596947.760000002
P0003,Angie Henderson,floor_supervisor,S006,2025-01-01,2025-12-30,226,354,973,23933274.75,332592.124985,23600761.32,66668.8172881356,0.01389664090932646,1286928.5699999998,0.0545291125379679,22313832.75
P0004,Daniel Wagner,floor_supervisor,S001,2025-01-02,2025-12-31,152,208,599,15211630.2,269709.786358,14941930.6,71836.20480769231,0.017730498494369133,380113.48,0.025439381976516476,14561817.12
P0005,Cristian Santos,floor_supervisor,S004,2025-01-01,2025-12-31,311,756,2027,50762662.22,4072529.37254,46690183.95,61759.502579365086,0.08022686743437704,2342091.43,0.05016239457330302,44348092.52
P0006,Connie Lawrence,sales_associate,S001,2025-01-01,2025-12-30,172,231,564,18144578.72,328706.850056,17815851.26,77124.89722943724,0.018115981369888758,1050660.01,0.05897332631862127,16765191.250000002
P0007,Abigail Shaffer,sales_associate,S002,2025-01-05,2025-12-31,131,173,448,11288288.54,1004861.9820739999,10283484.709999999,59442.10815028901,0.08901809858184224,100456.28,0.009768700283310871,10183028.43
P0008,Gina Moore,sales_associate,S005,2025-01-01,2025-12-31,214,326,884,22219326.5,1562205.574885,20657149.9,63365.49049079754,0.0703084125832977,319671.99,0.015475125636765603,20337477.91
P0009,Gabrielle Davis,floor_supervisor,S001,2025-01-01,2025-12-29,154,190,648,16146610.03,68801.711508,16077777.56,84619.88189473684,0.004261062314638684,225761.05,0.014041807031941545,15852016.51
P0010,Ryan Munoz,floor_supervisor,S002,2025-01-07,2025-12-30,134,173,455,10219065.18,198040.670844,10021006.9,57924.895375722546,0.019379529081739354,682255.3,0.06808250975258784,9338751.6
P0011,Monica Herrera,floor_supervisor,S006,2025-01-02,2025-12-31,223,359,942,25876764.88,2124574.212285,23752251.83,66162.2613649025,0.0821035481884009,1698208.44,0.07149673437931044,22054043.389999997
P0012,Jamie Arnold,floor_supervisor,S005,2025-01-02,2025-12-31,218,358,954,25442762.88,1937511.087472,23505275.07,65657.1929329609,0.07615175665513257,459148.6,0.019533853512993582,23046126.47
P0013,Lisa Hensley,senior_associate,S002,2025-01-01,2025-12-26,143,188,509,11067489.96,158625.157036,10908886.87,58025.9939893617,0.014332532273288819,1146442.57,0.10509253452364385,9762444.299999999
P0014,Michele Williams,senior_associate,S005,2025-01-01,2025-12-29,237,382,1068,26889251.25,2223128.115751,24666109.78,64570.96801047121,0.08267720417655736,1614333.52,0.06544743108655701,23051776.26
P0015,Dylan Miller,senior_associate,S001,2025-01-01,2025-12-30,169,216,629,14545556.22,1246828.552768,13298758.35,61568.325694444444,0.08571886381722706,479925.92000000004,0.0360880247139764,12818832.43
P0016,Brian Ramirez,sales_associate,S006,2025-01-02,2025-12-31,230,374,985,23939030.11,407919.557484,23531187.36,62917.613262032086,0.017039936689565407,824488.87,0.03503813289938464,22706698.49
P0017,Holly Wood,senior_associate,S003,2025-01-01,2025-12-31,168,218,765,20467420.25,61960.940831,20405449.21,93602.97802752294,0.0030272960673194756,379028.79,0.0185748809594572,20026420.42
P0018,Derek Zuniga,senior_associate,S002,2025-01-02,2025-12-31,160,197,534,14722864.39,299782.122482,14423085.66,73213.63279187818,0.020361671108348772,108512.69,0.007523541949205895,14314572.97
P0019,Lisa Jackson,sales_associate,S003,2025-01-01,2025-12-30,187,255,695,18685323.23,270385.73538,18414913.54,72215.34721568627,0.014470487454339853,501049.51,0.02720889831557689,17913864.029999997
P0020,Carla Gray,sales_associate,S001,2025-01-02,2025-12-31,155,209,564,16848544.96,281628.254656,16566948.37,79267.69555023924,0.01671528641343282,718632.88,0.0433775046526568,15848315.489999998
P0021,Margaret Hawkins DDS,senior_associate,S001,2025-01-05,2025-12-29,164,206,558,12802993.92,190239.244497,12612767.95,61227.02888349514,0.014858965464306024,778942.92,0.061758285182754044,11833825.03
P0022,Patty Perez,senior_associate,S003,2025-01-02,2025-12-31,176,218,586,15101417.15,375976.798512,14725501.28,67548.17100917432,0.02489678914087874,560697.0900000001,0.03807660461525559,14164804.19
P0023,Ethan Adams,floor_supervisor,S003,2025-01-04,2025-12-29,158,231,646,14191009.77,321664.861431,13869305.96,60040.285541125544,0.022666805720266938,758132.25,0.0546625946667053,13111173.71
P0024,Tommy Walter,sales_associate,S006,2025-01-01,2025-12-31,238,362,949,24151958.11,417792.664666,23734140.72,65563.92464088397,0.01729850071630486,523730.69,0.02206655366961185,23210410.029999997
P0025,Matthew Foster,senior_associate,S005,2025-01-01,2025-12-31,246,396,1373,35232952.73,1822890.174791,33410156.74,84369.08267676768,0.05173821759306746,492243.07,0.014733336147766903,32917913.669999998
P0026,Judy Baker,sales_associate,S004,2025-01-01,2025-12-31,313,742,1978,52864396.73,7738699.160878,45125588.01,60816.15634770889,0.14638773237880096,2206961.94,0.04890710652924742,42918626.07
